email,"website (root url)",city,state,profession,phone,country
sebastian.young@cbre.co.nz,https://www.cbre.co.nz,Wellington,"New Zealand","Property Investment","+64 4-499 8899","New Zealand"
info@reesby.co.nz,http://www.reesby.co.nz,Auckland,"New Zealand","Property Investment","+64 9-377 3606","New Zealand"
people@oystergroup.co.nz,http://www.oystergroup.co.nz,Auckland,"New Zealand","Property Investment","+64 9-632 1287","New Zealand"
tomh@reesby.co.nz,http://www.spinnakercapital.co.nz,Auckland,"New Zealand","Property Investment","+64 9-302 4940","New Zealand"
hello@jasper.io,http://www.jasper.io,Auckland,"New Zealand","Property Investment","+64 21 475 149","New Zealand"
hello@youown.co.nz,https://youown.co.nz,Auckland,"New Zealand","Property Investment","+64 9-302 8521","New Zealand"
melanie@propellorproperties.co.nz,https://propellorproperties.co.nz,Auckland,"New Zealand","Property Investment","+64 9-638 7396","New Zealand"
accounts@benchmarkproperty.co.nz,http://www.benchmarkproperty.co.nz,Auckland,"New Zealand","Property Investment","+64 9-303 3731","New Zealand"
christine@loanplan.co.nz,http://www.loanplan.co.nz,Auckland,"New Zealand","Property Investment","+64 9-489 8414","New Zealand"
lisa@acumen.co.nz,http://www.acumen.co.nz,Auckland,"New Zealand","Property Investment","+64 9-921 0444","New Zealand"
tim@lamontandco.com,https://lamontandco.co.nz,Auckland,"New Zealand","Property Investment","+64 9-215 5278","New Zealand"
as@naicommercial.co.nz,http://ascommercial.co.nz,Auckland,"New Zealand","Property Investment","+64 27 225 8150","New Zealand"
info@propertyapprentice.com,http://www.propertyapprentice.co.nz,Auckland,"New Zealand","Property Investment","+64 9-575 7736","New Zealand"
enquiries@staircase.co.nz,https://www.nzinvest.com,Auckland,"New Zealand","Property Investment","+64 800 694 683","New Zealand"
info@metronz.co.nz,https://www.metronz.co.nz,Auckland,"New Zealand","Property Investment","+64 9-391 4642","New Zealand"
isaac.tankard@naiharcourts.co.nz,https://www.isaactankard.co.nz,Auckland,"New Zealand","Property Investment","+64 27 702 0663","New Zealand"
aedwards@trustmanagement.co.nz,http://www.trustmanagement.co.nz,Auckland,"New Zealand","Property Investment","+64 9-550 4040","New Zealand"
info@kp.co.nz,https://kp.co.nz,Auckland,"New Zealand","Property Investment","+64 9-359 4000","New Zealand"
enquiries@quinovic-glenfield.co.nz,https://www.quinovic.co.nz,Auckland,"New Zealand","Property Investment","+64 210 879 1504","New Zealand"
info@phoenixproperty.co.nz,http://www.phoenixproperty.co.nz,Auckland,"New Zealand","Property Investment","+64 9-255 5601","New Zealand"
contact@opoly.co.nz,http://opoly.co.nz,Auckland,"New Zealand","Property Investment","+64 210 859 2760","New Zealand"
info@airpropty.com,https://www.airpropty.co.nz,Auckland,"New Zealand","Property Investment","+64 9-390 8890","New Zealand"
mike@focuspm.co.nz,https://www.focuspm.co.nz,Auckland,"New Zealand","Property Investment","+64 274 543 038","New Zealand"
oli@viranda.co.nz,http://www.viranda.co.nz,Auckland,"New Zealand","Property Investment","+64 9-486 1761","New Zealand"
d.palfreyman@barfoot.co.nz,http://www.davidpalfreyman.co.nz,Auckland,"New Zealand","Property Investment","+64 21 517 272","New Zealand"
jan@chapmanproperties.co.nz,http://www.birkenhead.net.nz,Auckland,"New Zealand","Property Investment","+64 9-480 1368","New Zealand"
tauranga@bslnz.com,http://www.birchsurveyors.co.nz,"Pukekohe Hill","New Zealand","Property Investment","+64 9-237 0780","New Zealand"
craig@citypropertyinvestment.co.nz,https://www.citypropertyinvestment.co.nz,Auckland,"New Zealand","Property Investment","+64 800 248 946","New Zealand"
matt@treun.co.nz,http://treun.co.nz,Auckland,"New Zealand","Property Investment","+64 27 646 4624","New Zealand"
info@estero.co.nz,http://www.esteroproperty.co.nz,Auckland,"New Zealand","Property Investment","+64 9-630 3588","New Zealand"
expedio@aventure.co.nz,http://www.expedio.co.nz,Auckland,"New Zealand","Property Investment","+64 9-262 0088","New Zealand"
brandon@simpsonslawyers.co.nz,http://simpsonslawyers.co.nz,Auckland,"New Zealand","Property Investment","+64 9-966 7488","New Zealand"
info@plotshare.co.nz,http://www.plotshare.co.nz,Auckland,"New Zealand","Property Investment","+64 9-218 7965","New Zealand"
info@theoneproperty.co.nz,https://theoneproperty.co.nz,Auckland,"New Zealand","Property Investment","+64 508 843 663","New Zealand"
info@erskineowen.co.nz,https://www.erskineowen.co.nz,Auckland,"New Zealand","Property Investment","+64 9-377 6463","New Zealand"
raman@sarin.co.nz,http://sarin.co.nz,Auckland,"New Zealand","Property Investment","+64 9-307 9027","New Zealand"
hello@provincia.co.nz,https://www.provincia.co.nz,Auckland,"New Zealand","Property Investment","+64 9-522 4936","New Zealand"
helpdesk@nzmentors.co.nz,https://www.aucklandpropertymentors.co.nz,Auckland,"New Zealand","Property Investment","+64 9-522 7955","New Zealand"
info@nplholdings.co.nz,http://nplholdings.com,Auckland,"New Zealand","Property Investment","+64 27 706 6371","New Zealand"
office@wealthmentor.co.nz,https://www.wealthmentor.co.nz,Auckland,"New Zealand","Property Investment","+64 9-366 7134","New Zealand"
office@wc.co.nz,http://www.wc.co.nz,Auckland,"New Zealand","Property Investment","+64 9-309 5651","New Zealand"
sam@customd.com,https://www.jkgl.co.nz,Auckland,"New Zealand","Property Investment","+64 9-379 7288","New Zealand"
annabel@taweragroup.com,https://taweragroup.com,Auckland,"New Zealand","Property Investment","+64 21 707 564","New Zealand"
markw@location.co.nz,http://www.location.co.nz,Auckland,"New Zealand","Property Investment","+64 9-638 8370","New Zealand"
info@nexusproperty.co.nz,https://www.cashflowproperty.co.nz,Auckland,"New Zealand","Property Investment","+64 21 182 6547","New Zealand"
info@silverfin.nz,http://www.silverfin.nz,Auckland,"New Zealand","Property Investment","+64 9-216 8626","New Zealand"
ben@mix.nz,http://www.mortonproperty.co.nz,Auckland,"New Zealand","Property Investment","+64 9-309 6044","New Zealand"
info@granthoey.co.nz,http://www.granthoey.co.nz,Auckland,"New Zealand","Property Investment","+64 274 727 788","New Zealand"
hello@wellproperty.co.nz,http://wellproperty.co.nz,Auckland,"New Zealand","Property Investment","+64 22 410 1994","New Zealand"
shane@kcsecurities.co.nz,http://www.knightcrawford.com,Auckland,"New Zealand","Property Investment","+64 21 750 009","New Zealand"
info@vinta.com.au,http://vinta.co.nz,Auckland,"New Zealand","Property Investment","+64 9-377 2626","New Zealand"
josh@customd.com,https://www.jkgl.co.nz,Auckland,"New Zealand","Property Investment","+64 9-379 7288","New Zealand"
ken@latitudegroup.co.nz,http://www.latitudegroup.co.nz,Auckland,"New Zealand","Property Investment","+64 9-520 0720","New Zealand"
info@southbourne.co.nz,https://www.southbourne.co.nz,Auckland,"New Zealand","Property Investment","+64 9-529 2077","New Zealand"
webmaster@thepropertyladder.nz,http://www.thepropertyladder.nz,Auckland,"New Zealand","Property Investment","+64 21 222 2252","New Zealand"
u003eb.bell@raywhite.com,https://rentwithbb.business.site,Papamoa,"New Zealand","Property Investment","+64 27 698 7380","New Zealand"
office@russellhardie.co.nz,http://russellhardie.co.nz,Rotorua,"New Zealand","Property Investment","+64 274 232 826","New Zealand"
sales@karakapines.co.nz,http://www.manorgroup.co.nz,Tauranga,"New Zealand","Property Investment","+64 7-571 3600","New Zealand"
info@pmgfunds.co.nz,http://www.propertymgr.co.nz,Tauranga,"New Zealand","Property Investment","+64 7-578 3494","New Zealand"
morten@focusonproperty.co.nz,http://www.focusonproperty.co.nz,Tauranga,"New Zealand","Property Investment","+64 7-572 1310","New Zealand"
adevries@mackersyproperty.co.nz,https://www.mackersyproperty.co.nz,Dunedin,"New Zealand","Property Investment","+64 3-450 9540","New Zealand"
anne@williamscorporation.co.nz,http://www.williamscorporation.co.nz,Christchurch,"New Zealand","Property Investment","+64 3-260 0604","New Zealand"
hamish@waterloobusinesspark.co.nz,http://www.waterloobusinesspark.co.nz,Christchurch,"New Zealand","Property Investment","+64 508 249 727","New Zealand"
corporate@ironbridge.co.nz,http://www.ironbridge.co.nz,Christchurch,"New Zealand","Property Investment","+64 3-961 5333","New Zealand"
enquiries@wolfbrook.co.nz,https://www.wolfbrook.co.nz,Christchurch,"New Zealand","Property Investment","+64 800 925 925","New Zealand"
sales@professionals.co.nz,https://www.prof.co.nz,Christchurch,"New Zealand","Property Investment","+64 3-338 5924","New Zealand"
lachie@kaurifs.co.nz,https://www.kaurifs.co.nz,Christchurch,"New Zealand","Property Investment","+64 29 982 1591","New Zealand"
angela.webb@bayleys.co.nz,http://www.propertyinvestmentchristchurch.co.nz,Christchurch,"New Zealand","Property Investment","+64 3-375 4700","New Zealand"
chris.dennehy@positiverealestate.co.nz,https://www.positiverealestate.co.nz,Wellington,"New Zealand","Property Investment","+64 800 746 644","New Zealand"
karen@propellorproperties.co.nz,https://propellorproperties.co.nz,Hamilton,"New Zealand","Property Investment","+64 7-444 5473","New Zealand"
simon@destination-nz.co.nz,https://www.destination-nz.co.nz,Christchurch,"New Zealand","Property Investment","+64 21 925 389","New Zealand"
info@torrentsecurities.nz,http://www.torrentsecurities.nz,Christchurch,"New Zealand","Property Investment","+64 3-345 8880","New Zealand"
offer@allproperty.co.nz,https://allproperty.co.nz,Christchurch,"New Zealand","Property Investment","+64 800 735 5287","New Zealand"
